t,r_x,r_y,v1,theta,r_cmd_x,r_cmd_y,r_user_x,r_user_y,r_user_dot_x,r_user_dot_y,v_ref_x,v_ref_y,u_force,theta_cmd,delta,u_tilde_x,u_tilde_y,OL_error_x,OL_error_y,IL_error,K_OL_norm,K_IL_norm,theta_ref,v_chrono_x,v_chrono_y,theta_dot,u_moment,v_des
5.220000000000003526e-01,2.957599154516319111e-04,-1.642473211584662751e+00,3.625943106950032992e-03,1.570935516041527036e+00,-2.962316185520720268e-05,-1.642669222866539380e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.269817836701232503e-08,-1.663265329984043796e-07,6.647631115935974792e-06,4.516536415947419947e+00,1.569034891269039278e+00,-1.293648099142387806e-06,-6.520542465864742569e-06,1.075684712479970002e-02,3.627656032811071071e-03,-5.631097739109414135e-04,1.414213562460769236e+00,1.056221909664843306e+00,1.576826362537542048e+00,1.075681663694099191e-02,3.627502562331872803e-03,6.077283874168079233e-03,2.058513810868775273e+00,0.000000000000000000e+00
5.240000000000003544e-01,3.135625660586130459e-04,-1.642464433251539235e+00,4.515712467741566684e-03,1.570946682090776703e+00,-2.962322509506067769e-05,-1.642669234660877775e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.452880917900732378e-08,-1.793667889454478452e-07,6.713436602297060771e-06,4.549699632949478101e+00,1.568998330457755053e+00,-1.087392945452649206e-06,-6.624787362266181987e-06,8.840699830084102623e-03,4.517284854010944310e-03,-5.879680446765345181e-03,1.414213562460781670e+00,1.056358568380727503e+00,1.583042823741264593e+00,8.840667131905736303e-03,4.517118527477945525e-03,5.547353217731263234e-03,2.511522136247298143e+00,0.000000000000000000e+00
5.260000000000003562e-01,3.024661522033374314e-04,-1.642454629259348931e+00,5.071351928474861215e-03,1.570941947492954460e+00,-2.962328623883712778e-05,-1.642669246480193079e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.346321233647137238e-08,-1.925242236803795050e-07,6.712164456143869926e-06,-1.493611048045562217e+00,1.569076717141370425e+00,5.175660214140967399e-07,-6.692180294926214377e-06,-5.628613132286084189e-03,5.070796908821186520e-03,-1.210087624831035491e-02,1.414213562460793439e+00,1.056575366056080822e+00,1.588920785564259086e+00,-5.628647661095263245e-03,5.070617542032241493e-03,-2.414602870328471252e-03,2.949126808700671454e+00,0.000000000000000000e+00
5.280000000000003579e-01,2.522757768768397611e-04,-1.642452430159743404e+00,1.272433410810604182e-03,1.570915017308549766e+00,-2.962333745548689806e-05,-1.642669258322966952e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.847536369155620682e-08,-2.049263411460264528e-07,6.830867603883850513e-06,-1.164645345347986582e+00,1.570213970796099590e+00,2.698714369750519919e-06,-6.275164776505231215e-06,-2.518869555624990778e-02,1.269657405933702007e-03,-1.800576825570954220e-02,1.414213562460817419e+00,1.056798491345090962e+00,1.593367982093170321e+00,-2.518872901946224430e-02,1.269464881710021713e-03,-1.352010289052031633e-02,2.184974945901444698e+00,0.000000000000000000e+00
5.300000000000003597e-01,1.707135895200728574e-04,-1.642453727000763752e+00,-4.535245770889195826e-04,1.570870661682920444e+00,-2.962337244429707011e-05,-1.642669270188500175e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.033255328173945101e-08,-2.169874846597843150e-07,7.547051451259547295e-06,-9.382010019598714390e-01,1.571094785644846947e+00,4.462117683412907282e-06,-6.086665046421781899e-06,-4.088114731210918534e-02,-4.563659771919455514e-04,-2.249732041024987694e-02,1.414213562460873819e+00,1.056992570107093687e+00,1.596558063155857132e+00,-4.088117578747287734e-02,-4.565709035330915537e-04,-2.223667222665781998e-02,1.519554751678456217e+00,0.000000000000000000e+00
5.320000000000003615e-01,6.514449547308292989e-05,-1.642453363958247925e+00,3.929350500550134835e-04,1.570812839738319200e+00,-2.962338636646004973e-05,-1.642669282077124482e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.767745729252729694e-09,-2.292229455309200392e-07,8.495314932647091838e-06,-8.152389214188843214e-01,1.570373087348541530e+00,5.825190764586775824e-06,-6.183650083973832995e-06,-5.288495152965261986e-02,3.922850896279272341e-04,-2.574522341753815446e-02,1.414213562460971518e+00,1.057136576972805164e+00,1.598616704430976032e+00,-5.288497186220589980e-02,3.920681021432674508e-04,-2.897003751348638245e-02,9.283988767509058215e-01,0.000000000000000000e+00
5.340000000000003633e-01,-7.939969761053549020e-05,-1.642454099820853664e+00,-1.457419101141396093e-04,1.570732938031049963e+00,-2.962337137693337052e-05,-1.642669293988620272e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.725992913243085328e-09,-2.413561162268681181e-07,1.010122589233423016e-05,-6.517704221107851748e-01,1.571171889371720809e+00,8.030586870591507507e-06,-6.127351715206722897e-06,-7.238407257273467288e-02,-1.409266625533896059e-04,-2.788376639992629080e-02,1.414213562461154261e+00,1.057220551513931239e+00,1.599652004842331499e+00,-7.238408234048039624e-02,-1.411558854989205126e-04,-4.001672656130451228e-02,3.880629015126526027e-01,0.000000000000000000e+00
5.360000000000003650e-01,-2.411944558370555968e-04,-1.642453493030576972e+00,5.536838583300455119e-04,1.570642902031763599e+00,-2.962332396433621691e-05,-1.642669305923255774e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.097620460105778308e-08,-2.536353760565924898e-07,1.096495999530732546e-05,-6.019367000068691631e-01,-1.565006192065001800e+00,9.037764379565963442e-06,-6.208797203818038879e-06,-8.100419544608537803e-02,5.663618866766197482e-04,-2.900910281056834350e-02,1.414213562461385854e+00,1.057242198004875178e+00,1.599752862475259052e+00,-8.100419072009246158e-02,5.661205305603928548e-04,-4.508084089646588466e-02,-9.562431559987323582e-02,0.000000000000000000e+00
5.380000000000003668e-01,1.443869216056097677e-03,-1.642400803959812583e+00,2.563921582771783170e-02,1.571516565658524600e+00,-2.962361380500839453e-05,-1.642669317891458203e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.480484973578436861e-07,-2.710661705936146470e-07,9.428739606783971268e-05,3.237952939542271480e+00,-1.524007276324932603e+00,-9.384999107690155176e-05,-9.071506606908026860e-06,8.436389712367157179e-01,2.624750956775474819e-02,-2.823629681673489600e-02,1.414213562486453801e+00,1.057254770275017686e+00,1.599728223501662328e+00,8.436389922129202690e-01,2.624725593237869220e-02,4.374832123952758778e-01,-5.475747620100854807e-01,0.000000000000000000e+00
5.400000000000003686e-01,2.888428259843186640e-03,-1.642344634845812834e+00,2.632383396061729539e-02,1.572343567334411274e+00,-2.962419342394882388e-05,-1.642669329893945429e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.933764083610893947e-07,-2.887520996715780452e-07,8.194223509027314485e-05,3.254550266532256764e+00,-1.455825994452750738e+00,-8.142002291341948305e-05,-9.236328294719598026e-06,7.237164769640224149e-01,2.744435233480689226e-02,-2.738465616725149765e-02,1.414213562505117761e+00,1.057308203469828012e+00,1.600330662162692930e+00,7.237163289155250645e-01,2.744408126863629935e-02,4.143458560297003657e-01,-2.279522614465230301e-01,0.000000000000000000e+00
5.420000000000003704e-01,4.336679035810422737e-03,-1.642286182684245865e+00,2.706833099614306196e-02,1.573170162866292410e+00,-2.962506413806590642e-05,-1.642669341931197069e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.393199513937997256e-07,-3.067235853082454184e-07,8.287086020412536230e-05,3.255473044814593209e+00,1.244206606515493307e+00,-8.233407523433796673e-05,-9.416980741090196432e-06,7.253462994183558221e-01,2.879103940285381719e-02,-2.716049929640096394e-02,1.414213562524037737e+00,1.057401276981043692e+00,1.601533839027730055e+00,7.253460060419474331e-01,2.879075065075414538e-02,4.140154867946595485e-01,7.991384569906032076e-02,0.000000000000000000e+00
5.440000000000003721e-01,5.798692192880323948e-03,-1.642218156222752468e+00,3.105348335169895793e-02,1.574001385730700031e+00,-2.962622928188864854e-05,-1.642669354005153126e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.870573837142049993e-07,-3.256357099913356456e-07,8.450577591698529010e-05,3.259765061471281200e+00,1.487828364077774745e+00,-8.391641258949146282e-05,-9.963024713507977851e-06,7.328534141870725049e-01,3.340338726243770318e-02,-2.753245329703024602e-02,1.414213562543538139e+00,1.057535133472019995e+00,1.603310036137213457e+00,7.328529748671210875e-01,3.340308053885239492e-02,4.166968094430587577e-01,3.734236144422440895e-01,0.000000000000000000e+00
5.460000000000003739e-01,6.688420669359960297e-03,-1.642025290245955560e+00,9.351640736167238233e-02,1.574486298563122277e+00,-2.962757486882925943e-05,-1.642669366140833587e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.775761562379534606e-07,-3.569438042102270133e-07,5.482115732106137266e-05,3.454101945153776221e+00,1.428757356523391753e+00,-5.216589957810122521e-05,-1.685461987788570377e-05,4.458847869145233234e-01,9.516461303843737340e-02,-2.882373757409140147e-02,1.414213562551370318e+00,1.057717993982432159e+00,1.605670673337618481e+00,4.458841998571396181e-01,9.516428740272737941e-02,2.430540300813667232e-01,6.539519379041617286e-01,0.000000000000000000e+00
5.480000000000003757e-01,7.441062458079786800e-03,-1.641751579477879641e+00,1.344556739347130825e-01,1.574855842566439401e+00,-2.962907381002423813e-05,-1.642669378354500775e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.544601846195069008e-07,-3.964767235880563145e-07,4.960451298098914313e-05,3.589206486543130570e+00,1.431522248452886892e+00,-4.471759731343637542e-05,-2.146961104897964154e-05,3.769618837525995914e-01,1.359903568937682605e-01,-3.081483077117952440e-02,1.414213562557598891e+00,1.057962367134874127e+00,1.608651566438177971e+00,3.769612061764433530e-01,1.359899999499640522e-01,1.851467913327763393e-01,9.591532869037420195e-01,0.000000000000000000e+00
5.500000000000003775e-01,7.904707323445437500e-03,-1.641437932594745686e+00,1.556005684215858997e-01,1.575008870491301005e+00,-2.963066854934624680e-05,-1.642669390654259542e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.024640907782281571e-07,-4.401957272926312441e-07,3.725999715722440320e-05,3.836205243981253066e+00,1.449479763234591267e+00,-2.862692048513552524e-05,-2.384967110243029200e-05,2.321048819284823039e-01,1.565835365986476269e-01,-3.364269594687763210e-02,1.414213562560866722e+00,1.058286528302635032e+00,1.612297161476253127e+00,2.321041274682976718e-01,1.565831401219240360e-01,7.667909430019737016e-02,1.276301047083270523e+00,0.000000000000000000e+00
5.520000000000003793e-01,8.233384531278017948e-03,-1.641138757501897194e+00,1.486248836069460066e-01,1.575057896819113568e+00,-2.963233225172819192e-05,-1.642669403037337883e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.370382550583613701e-07,-4.825286155306962894e-07,3.136639637922062219e-05,3.971550251826540645e+00,1.479684033645441543e+00,-2.116940201981649819e-05,-2.314535028773109543e-05,1.646308895129645622e-01,1.493315879802770141e-01,-3.723926465714000322e-02,1.414213562563052085e+00,1.058712826164357468e+00,1.616649262515346352e+00,1.646300870488737744e-01,1.493311477845497282e-01,2.468399155024386324e-02,1.626711208236226947e+00,0.000000000000000000e+00
5.540000000000003810e-01,8.480601001760290636e-03,-1.640874769934531852e+00,1.312049185149239683e-01,1.575062583280431250e+00,-2.963404874020133945e-05,-1.642669415496811114e+00,0.000000000000000000e+00,-1.699999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.635179282721720086e-07,-5.213999612854732521e-07,2.704461203787205742e-05,4.047579538426187895e+00,1.504860913741490336e+00,-1.668406911668785200e-05,-2.128503882985879956e-05,1.239132817710891232e-01,1.317382179434711809e-01,-4.158667923491576879e-02,1.414213562564585303e+00,1.059264600223966735e+00,1.621714132029875577e+00,1.239124447328340678e-01,1.317377354148556445e-01,2.521537978451424394e-03,1.987016088238152456e+00,0.000000000000000000e+00
